order_id,customer_id,order_time,shipping_time,status
ab70e2d3-a683-46e9-9c35-64c2da65384f,772f83ca-eda5-4d44-a4a1-4c99f52c2c44,2024-02-09 04:42:44.239860,2024-02-15 14:16:17.806506,CANCELLED
97de7c08-cbf3-480a-a4bd-253b4028dc9b,16d501fa-1030-4c8b-a14d-ee54e23375e6,2024-02-25 09:25:38.340440,,CANCELLED
6456be9f-584e-43ae-bc5b-2b527a7b7c60,58958e92-8146-4f27-92a7-8efeea701eb3,2024-01-10 08:57:09.900513,2024-02-03 08:54:02.298667,SHIPPED
2faf3403-47bd-472e-afef-c17fd5299eb8,9c132e96-5d9a-45f4-9771-64729ee11c2d,2024-02-11 19:32:16.978111,2024-02-12 12:21:08.109879,COMPLETED
32327ac1-bbf5-484c-a7ef-4fde9a20ded8,c4cef7bb-87ac-480f-950b-c5fc2da44461,2024-02-02 02:53:04.500091,2024-02-23 22:42:25.669324,COMPLETED
71eb65b9-9bf8-47fe-a237-087a24d6229e,b789f4a8-d101-41cd-8a4b-a8d7b28f5157,2024-01-29 13:48:19.198445,,RECEIVED
103c5cf8-1a7e-4e0e-92f4-a719b765e739,c94617d1-6964-48f7-86bc-1a80abd2c31f,2024-01-28 11:28:32.841913,2024-02-17 13:44:18.149859,COMPLETED
3246bd7c-6d13-44a9-8c8e-44fd5cdee497,d1e132f5-0ee9-488e-9eee-3b6f298ac2c5,2024-01-22 07:12:56.969450,2024-02-26 15:52:56.358509,CANCELLED
8344445e-fed4-40d8-a9d9-a9c738ca27d3,f48e2878-6683-49dc-a7d0-d1cebcb8b704,2024-03-02 13:33:23.424137,2024-03-04 09:52:56.445603,SHIPPED
bfbc3d05-8142-4083-8662-bbdae9367f36,35dc36a4-464f-47d0-ae30-5c56f32b9069,2024-01-15 05:55:08.780128,,CANCELLED
fe1ee22b-c019-4ef8-8e39-371d8510103d,58958e92-8146-4f27-92a7-8efeea701eb3,2024-02-25 21:55:14.097504,,CANCELLED
2ffc9525-2403-4089-ab1c-2a63652e92b8,f48e2878-6683-49dc-a7d0-d1cebcb8b704,2024-01-11 11:38:49.389397,,CANCELLED
aa15d9b1-3314-4c44-84e1-b00ffa61cbb6,c22398fa-0d53-47d1-8e84-4bca4c897583,2024-02-11 02:49:49.141156,,RECEIVED
899ae006-205f-45c1-85cf-98b57e90bc73,d59f26d5-977b-45ad-9544-50de150c32f4,2024-02-13 08:50:12.335393,,CANCELLED
ff21a717-010f-4f99-a0af-e6060d0ac0a7,3e9d4cff-34ef-4978-90a1-6fbd3612f6c5,2024-02-14 12:13:34.349454,,CANCELLED
7777d682-5f45-4d22-a7c7-d55ab5a8e288,2636929a-1347-423b-8579-888e33889128,2024-01-29 15:21:00.738956,2024-02-05 22:12:30.193951,CANCELLED
2df5053c-4d10-4d81-9e3a-a9243168c8c1,e87f3429-1ccd-4ad8-9420-a84dc70428d2,2024-02-25 23:14:54.244391,,PREPARED
496bde72-d8fd-4cbf-8726-1a0a5e3cf152,fd0cb716-ed37-45f3-bda7-ede3acd0bac3,2024-02-28 14:10:12.688196,,PREPARED
26ae9335-1d32-48e7-9316-90c2b00450e1,59084b85-d8da-49ef-a419-e98a571fa8db,2024-02-28 05:51:51.357605,2024-03-04 11:16:03.290008,SHIPPED
3cf698dd-6c1b-4d4d-916b-73056fae4265,621317cc-de00-4c19-88d6-173dfe3b9643,2024-01-24 12:15:45.416994,2024-03-03 18:46:29.879550,SHIPPED
f14e73a2-6e36-447b-beb3-fc27366c31af,152431d3-eb4c-40ab-855e-18a8531b2f4f,2024-02-16 13:24:07.965309,2024-02-24 03:35:38.261385,SHIPPED
b8beb48a-dbc8-461d-b685-31683202c506,962713ea-f8c1-461f-b26b-aee26247f85c,2024-02-16 14:41:06.909328,,CANCELLED
c269051f-a142-473f-8126-7f26fc38584a,b789f4a8-d101-41cd-8a4b-a8d7b28f5157,2024-01-08 00:56:11.447300,,PREPARED
8bf30bd0-311c-4df6-a621-d461e146cbae,c6745e33-a92a-41d6-9878-28e81624fb5b,2024-01-15 09:33:28.768620,2024-01-15 18:34:31.848238,COMPLETED
e218964f-5ad9-43d0-aeb9-8e1d072a82aa,6c48e81c-7085-4ac7-afce-224d4415aae3,2024-02-16 08:58:40.934412,,RECEIVED
ca8ad303-419f-4e4b-b4c3-ea02eb77b35d,a9d30def-432a-4ddc-8e6f-cbf91415e9b6,2024-01-01 03:17:37.231832,2024-01-09 03:03:48.752255,SHIPPED
22f51530-2071-4cab-a663-0b9cc94f170e,ad4b882c-87c7-4b44-9c17-8d6913e9a0e4,2024-02-17 10:21:37.317550,2024-02-28 17:26:57.156924,CANCELLED
5c516406-d284-4440-871d-cbec430e04fa,ab42da51-fbf4-43e1-b3f3-9caf23375a15,2024-02-17 04:39:43.026788,,RECEIVED
0a439f1e-aafb-4213-b776-a1cbec4284b6,9c132e96-5d9a-45f4-9771-64729ee11c2d,2024-02-25 01:50:15.763519,2024-02-29 18:26:35.775484,COMPLETED
81f4cebe-1732-452a-bbc7-2bbd92bb5fc9,e90042c5-b72f-48f4-a473-93ffda870733,2024-01-19 00:26:54.492695,2024-01-24 16:57:51.376210,COMPLETED
6c75dcf1-af53-48ab-95ef-621a2d2fef17,3ad9fd77-72b6-4e07-b04c-18928a0f07c6,2024-02-25 09:49:08.697968,,CANCELLED
aa953576-5500-47f6-95c7-283a851e32aa,98cae4e2-8ea8-4157-8b2c-fdf4575715dc,2024-01-16 14:26:36.520950,,PREPARED
1b252d05-2b6e-4121-abf3-3503d5000501,c6745e33-a92a-41d6-9878-28e81624fb5b,2024-01-03 15:58:27.036744,2024-01-30 18:07:40.873537,CANCELLED
2d1ec521-d347-430a-bf92-6fe5dcfb02ce,4ed32d1d-a14f-4f34-b365-b00679852243,2024-01-02 06:32:44.947498,,RECEIVED
4cb64f9d-d6d1-4f56-885d-31c7673bf33c,97b62f84-8e53-47a0-a705-d89f4a1add96,2024-02-06 10:34:12.020621,,PREPARED
45042dff-f1cf-4853-9ebe-6cff473996ef,d1c3cdfd-64bd-4797-8d61-ce2d33bf4106,2024-01-26 20:33:14.592665,2024-02-26 05:12:25.529896,CANCELLED
d2258930-a7ec-439b-b653-869c9e7ad429,6b447e62-02e1-40ed-9a80-726d00419cb8,2024-02-27 15:01:27.801975,,PREPARED
811f89a6-7e78-45e5-8b37-ff5221a0b783,509d082b-0c36-4692-af14-4b8532918347,2024-02-24 14:25:27.106806,2024-03-03 13:00:03.634331,COMPLETED
f61548cb-5792-4bda-b354-b660315e4202,97b62f84-8e53-47a0-a705-d89f4a1add96,2024-03-02 08:50:40.066230,2024-03-03 01:13:07.580984,COMPLETED
527b1e44-106c-46c2-9283-a28f29781aec,bc80fcb4-57bb-4ace-b2d1-c7fbe37ff42c,2024-02-25 12:07:13.307255,2024-02-26 10:00:07.123657,COMPLETED
9385acb8-1461-46f8-a8b1-d32f64119f6c,f27387f0-6155-4b4e-b2af-3baa4f896670,2024-02-28 15:48:29.477509,2024-02-29 02:30:01.575072,CANCELLED
e6994898-c7ac-4560-b2b4-645e67119c1a,ab42da51-fbf4-43e1-b3f3-9caf23375a15,2024-03-01 00:52:30.654065,,CANCELLED
1cc0b657-a9bb-4387-bfd7-0ff5f73ddf7e,5a6a6ce8-9e2f-4f37-819d-b102bc5fc0d3,2024-02-09 13:48:17.867049,,RECEIVED
d8391c7b-d370-4e6e-8454-3c8a1075f632,885052cd-69bf-418d-a9e1-81085d43c436,2024-02-29 04:55:50.569004,2024-02-29 18:08:43.499652,CANCELLED
a73edee5-40c8-4cc3-89c5-a94b89056e7b,d1c3cdfd-64bd-4797-8d61-ce2d33bf4106,2024-02-04 00:33:08.767189,,RECEIVED
1afd4c87-1bf8-46f5-8767-8ca86f2ad80c,57cac606-e6ea-4f43-9925-7514c61e5d0a,2024-01-11 11:04:51.317522,,PREPARED
0ff36b8f-66f8-442b-93ae-1b1d047d1502,d1c3cdfd-64bd-4797-8d61-ce2d33bf4106,2024-02-03 17:05:14.362898,2024-02-29 08:58:15.756271,CANCELLED
99e2aa33-ea1e-4883-8ce1-d3b2589b3616,9c132e96-5d9a-45f4-9771-64729ee11c2d,2024-01-11 07:53:19.868354,,RECEIVED
